"baseline_design","n_processes","mean_length","beta_true","comparator","metric","mean_advantage","standard_error","ci_lower","ci_upper","win_rate"
"unequal",500,8,0.25,"Dual-clock model","full_logloss",0.00012708682056984,1.77477261503976e-05,9.23012773150609e-05,0.000161872363824619,0.633333333333333
"unequal",500,8,0.25,"Dual-clock model","full_brier",7.58285867169214e-05,1.05575440178396e-05,5.51358004419558e-05,9.65213729918869e-05,0.63
"common",100,12,0.25,"Dual-clock model","departure_logloss",0.000423688042757227,5.84495418021174e-05,0.000309126940825077,0.000538249144689377,0.656666666666667
"common",100,12,0.25,"Dual-clock model","departure_brier",0.000176335466663323,2.52328151884173e-05,0.000126879148894026,0.000225791784432621,0.65
"common",100,12,0.25,"Dual-clock model","full_logloss",0.000423688042757229,5.84495418021172e-05,0.00030912694082508,0.000538249144689379,0.656666666666667
"common",100,12,0.25,"Dual-clock model","full_brier",0.000227818891052011,3.39657462335046e-05,0.000161246028434342,0.00029439175366968,0.653333333333333
"unequal",100,12,0.25,"Dual-clock model","departure_logloss",0.000334007451320536,5.58940099331409e-05,0.00022445519185158,0.000443559710789492,0.606666666666667
"unequal",100,12,0.25,"Dual-clock model","departure_brier",0.0001486764413753,2.50483162106211e-05,9.95817416024827e-05,0.000197771141148117,0.6
"unequal",100,12,0.25,"Dual-clock model","full_logloss",0.000334007451320542,5.58940099331408e-05,0.000224455191851586,0.000443559710789498,0.606666666666667
"unequal",100,12,0.25,"Dual-clock model","full_brier",0.000193515903183077,3.17831293959165e-05,0.00013122096956708,0.000255810836799073,0.62
"common",184,12,0.25,"Dual-clock model","departure_logloss",0.000205894605667048,3.49584645542888e-05,0.000137376015140642,0.000274413196193454,0.62
"common",184,12,0.25,"Dual-clock model","departure_brier",8.77503211436368e-05,1.48871968592194e-05,5.85714152995667e-05,0.000116929226987707,0.63
"common",184,12,0.25,"Dual-clock model","full_logloss",0.000205894605667046,3.49584645542886e-05,0.00013737601514064,0.000274413196193452,0.62
