"baseline_design","n_processes","mean_length","beta_true","comparator","metric","mean_advantage","standard_error","ci_lower","ci_upper","win_rate"
"common",184,12,0.25,"Dual-clock model","full_brier",0.000112694867727766,1.88583864332403e-05,7.57324303186152e-05,0.000149657305136917,0.63
"unequal",184,12,0.25,"Dual-clock model","departure_logloss",0.000242443277547264,3.26523361350924e-05,0.000178444698722483,0.000306441856372045,0.69
"unequal",184,12,0.25,"Dual-clock model","departure_brier",0.000109714130277456,1.49259308974127e-05,8.04593057185268e-05,0.000138968954836385,0.69
"unequal",184,12,0.25,"Dual-clock model","full_logloss",0.00024244327754725,3.26523361350924e-05,0.000178444698722469,0.000306441856372031,0.69
"unequal",184,12,0.25,"Dual-clock model","full_brier",0.000138531882094039,1.89488917215516e-05,0.000101392054319798,0.00017567170986828,0.683333333333333
"common",300,12,0.25,"Dual-clock model","departure_logloss",0.000143729110061189,2.13394099041235e-05,0.000101903866649107,0.000185554353473271,0.63
"common",300,12,0.25,"Dual-clock model","departure_brier",6.19846842923829e-05,9.33205542493644e-06,4.36938556595074e-05,8.02755129252583e-05,0.616666666666667
"common",300,12,0.25,"Dual-clock model","full_logloss",0.000143729110061187,2.13394099041232e-05,0.000101903866649105,0.000185554353473268,0.63
"common",300,12,0.25,"Dual-clock model","full_brier",8.05683007910811e-05,1.21606759359e-05,5.67333759567171e-05,0.000104403225625445,0.613333333333333
"unequal",300,12,0.25,"Dual-clock model","departure_logloss",0.000121840449207213,2.06364042705352e-05,8.13930968369637e-05,0.000162287801577462,0.626666666666667
"unequal",300,12,0.25,"Dual-clock model","departure_brier",5.49779542817101e-05,9.47962493106374e-06,3.63978894168252e-05,7.3558019146595e-05,0.626666666666667
"unequal",300,12,0.25,"Dual-clock model","full_logloss",0.000121840449207213,2.06364042705349e-05,8.13930968369641e-05,0.000162287801577461,0.626666666666667
"unequal",300,12,0.25,"Dual-clock model","full_brier",7.11750839450428e-05,1.22023216230728e-05,4.72585335638201e-05,9.50916343262654e-05,0.626666666666667
"common",500,12,0.25,"Dual-clock model","departure_logloss",0.000105602888892189,1.45350360836847e-05,7.71142181681672e-05,0.000134091559616211,0.676666666666667
"common",500,12,0.25,"Dual-clock model","departure_brier",4.61562238392364e-05,6.36872645390899e-06,3.36735199895748e-05,5.8638927688898e-05,0.683333333333333
"common",500,12,0.25,"Dual-clock model","full_logloss",0.000105602888892194,1.4535036083685e-05,7.71142181681716e-05,0.000134091559616217,0.676666666666667
"common",500,12,0.25,"Dual-clock model","full_brier",5.94949566469716e-05,8.14670116393864e-06,4.35274223656518e-05,7.54624909282913e-05,0.686666666666667
"unequal",500,12,0.25,"Dual-clock model","departure_logloss",7.96769438664239e-05,1.10157531133781e-05,5.80860677642028e-05,0.000101267819968645,0.66
"unequal",500,12,0.25,"Dual-clock model","departure_brier",3.60722399976813e-05,5.04476277641619e-06,2.61845049559056e-05,4.5959975039457e-05,0.653333333333333
"unequal",500,12,0.25,"Dual-clock model","full_logloss",7.96769438664261e-05,1.10157531133773e-05,5.80860677642066e-05,0.000101267819968646,0.66
"unequal",500,12,0.25,"Dual-clock model","full_brier",4.65424468157638e-05,6.44545126030159e-06,3.39093623455727e-05,5.91755312859549e-05,0.643333333333333
"common",100,20,0.25,"Dual-clock model","departure_logloss",0.000261828254105121,3.6509687460468e-05,0.000190269266682603,0.000333387241527638,0.626666666666667
"common",100,20,0.25,"Dual-clock model","departure_brier",0.000114965496844388,1.58969793570781e-05,8.38074173045145e-05,0.000146123576384261,0.623333333333333
"common",100,20,0.25,"Dual-clock model","full_logloss",0.000261828254105117,3.65096874604677e-05,0.0001902692666826,0.000333387241527634,0.626666666666667
"common",100,20,0.25,"Dual-clock model","full_brier",0.000145976051758257,2.07010099611616e-05,0.00010540207223438,0.000186550031282133,0.63
"unequal",100,20,0.25,"Dual-clock model","departure_logloss",0.000258785134212327,3.88758427597716e-05,0.000182588482403174,0.000334981786021479,0.62
"unequal",100,20,0.25,"Dual-clock model","departure_brier",0.000121563934742225,1.85531609404047e-05,8.51997392990322e-05,0.000157928130185419,0.653333333333333
"unequal",100,20,0.25,"Dual-clock model","full_logloss",0.000258785134212323,3.88758427597713e-05,0.000182588482403171,0.000334981786021474,0.62
"unequal",100,20,0.25,"Dual-clock model","full_brier",0.000160762344206179,2.40982700237124e-05,0.000113529734959703,0.000207994953452655,0.65
"common",184,20,0.25,"Dual-clock model","departure_logloss",9.3994413652021e-05,1.6378260981255e-05,6.18930221287611e-05,0.000126095805175281,0.596666666666667
"common",184,20,0.25,"Dual-clock model","departure_brier",3.98775788887264e-05,7.04863556370879e-06,2.60622531838572e-05,5.36929045935956e-05,0.583333333333333
"common",184,20,0.25,"Dual-clock model","full_logloss",9.39944136520225e-05,1.6378260981255e-05,6.18930221287627e-05,0.000126095805175282,0.596666666666667
"common",184,20,0.25,"Dual-clock model","full_brier",4.95009641007464e-05,8.93083752582236e-06,3.19965225501345e-05,6.70054056513582e-05,0.573333333333333
"unequal",184,20,0.25,"Dual-clock model","departure_logloss",0.000168429817724583,2.0781462696743e-05,0.000127698150838966,0.000209161484610199,0.666666666666667
"unequal",184,20,0.25,"Dual-clock model","departure_brier",7.69374123222371e-05,9.53571017713524e-06,5.8247420375052e-05,9.56274042694221e-05,0.676666666666667
"unequal",184,20,0.25,"Dual-clock model","full_logloss",0.000168429817724584,2.07814626967426e-05,0.000127698150838968,0.000209161484610199,0.666666666666667
"unequal",184,20,0.25,"Dual-clock model","full_brier",9.73413443070414e-05,1.2318795628853e-05,7.31965048744896e-05,0.000121486183739593,0.666666666666667
"common",300,20,0.25,"Dual-clock model","departure_logloss",8.84464254481103e-05,1.0587621047338e-05,6.76946881953277e-05,0.000109198162700893,0.67
"common",300,20,0.25,"Dual-clock model","departure_brier",3.8208082024992e-05,4.56995274960076e-06,2.92509746357745e-05,4.71651894142095e-05,0.68
"common",300,20,0.25,"Dual-clock model","full_logloss",8.84464254481025e-05,1.05876210473385e-05,6.7694688195319e-05,0.000109198162700886,0.67
"common",300,20,0.25,"Dual-clock model","full_brier",4.91660124779754e-05,5.79761581500574e-06,3.78026854805642e-05,6.05293394753867e-05,0.683333333333333
"unequal",300,20,0.25,"Dual-clock model","departure_logloss",9.05958766148444e-05,1.28062250403665e-05,6.54956755357261e-05,0.000115696077693963,0.686666666666667
"unequal",300,20,0.25,"Dual-clock model","departure_brier",4.17653588748759e-05,5.93216384562466e-06,3.01383177374516e-05,5.33924000123003e-05,0.676666666666667
"unequal",300,20,0.25,"Dual-clock model","full_logloss",9.05958766148555e-05,1.28062250403662e-05,6.54956755357378e-05,0.000115696077693973,0.686666666666667
"unequal",300,20,0.25,"Dual-clock model","full_brier",5.38332863873396e-05,7.61429906453366e-06,3.89092602208536e-05,6.87573125538255e-05,0.686666666666667
"common",500,20,0.25,"Dual-clock model","departure_logloss",4.53875818276976e-05,6.92206473090746e-06,3.1820334955119e-05,5.89548287002762e-05,0.643333333333333
"common",500,20,0.25,"Dual-clock model","departure_brier",1.9539571631299e-05,3.01990043785345e-06,1.36205667731062e-05,2.54585764894917e-05,0.64
"common",500,20,0.25,"Dual-clock model","full_logloss",4.53875818276916e-05,6.92206473090745e-06,3.1820334955113e-05,5.89548287002703e-05,0.643333333333333
"common",500,20,0.25,"Dual-clock model","full_brier",2.49441176712195e-05,3.78390088743693e-06,1.75276719318431e-05,3.23605634105959e-05,0.65
