"baseline_design","n_processes","mean_length","beta_true","model","successful_replications","departure_logloss_mean","departure_logloss_sd","departure_brier_mean","departure_brier_sd","calibration_intercept_mean","calibration_slope_mean","full_logloss_mean","full_brier_mean"
"common",100,20,0,"Global alpha-beta model",300,0.619504697298499,0.00873672906250128,0.213978089693354,0.00410621938236732,0.809683059997581,0.000897695623597777,1.5869037349047,0.774399222530535
"common",100,20,0,"Origin-specific homogeneous",300,0.618945001042461,0.00872013464047713,0.213743933832789,0.00410784546402512,0.793485612897461,0.0208004010006875,1.58634403864866,0.774098422855991
"common",100,20,0,"Spline spell-age model",300,0.620000053980308,0.00920472150640066,0.214090612316209,0.00420480228647138,0.790486878195677,0.023502819198061,1.58739909158651,0.774540786442179
"common",100,20,0,"Stage-Spell SPAOM",300,0.619013090196791,0.00875114297426917,0.213773527386893,0.00411987536465741,0.802236174567165,0.00937172341849832,1.58641212780299,0.774136925139996
"common",100,20,0.25,"Dual-clock model",300,0.634636993961424,0.00861504060514043,0.221337447304637,0.00407451874225914,0.176092949758523,0.74217545957185,1.56734349131013,0.76548324419918
"common",100,20,0.25,"Global alpha-beta model",300,0.638929195540557,0.00868986144980803,0.223272954533139,0.00411991977268397,0.67039704260616,0.0346505352938633,1.57163569288926,0.767952015792094
"common",100,20,0.25,"Origin-specific homogeneous",300,0.638368293305998,0.00853392509096978,0.223029581366281,0.00406024688181337,0.688800740217235,0.00747584838000157,1.5710747906547,0.767641125775424
"common",100,20,0.25,"Spline spell-age model",300,0.6350070208878,0.00878407534207392,0.221501067816129,0.00413245470149909,0.210189837526951,0.691989920461878,1.5677135182365,0.765693287489742
"common",100,20,0.25,"Stage-Spell SPAOM",300,0.634375165707319,0.00853261689610831,0.221222481807793,0.00404037662050801,0.146089536547384,0.785165696196759,1.56708166305602,0.765337268147422
"common",100,20,0.52,"Dual-clock model",300,0.641651206889985,0.00794627415453943,0.224798169505483,0.00377180538213101,0.0260161352810961,0.953607597082552,1.51968518620166,0.741216906858738
"common",100,20,0.52,"Global alpha-beta model",300,0.663314357138982,0.007793460634832,0.235139202650658,0.00374878535615434,0.431902620177091,0.173317456152492,1.54134833645065,0.754382593589417
"common",100,20,0.52,"Origin-specific homogeneous",300,0.663347289830797,0.00768762940306124,0.235163890397551,0.00371384521649846,0.551908128139306,-0.0604486426259468,1.54138126914247,0.754407051745594
"common",100,20,0.52,"Spline spell-age model",300,0.64201470351237,0.00802350579133509,0.224977792792041,0.00380787479084656,0.0304600846630775,0.943628789156814,1.52004868282404,0.741445830716369
"common",100,20,0.52,"Stage-Spell SPAOM",300,0.64137776817354,0.00795078944817207,0.224680312739798,0.00377509551567092,0.0203902180711065,0.964717216528271,1.51941174748521,0.741064971867613
"common",100,20,0.8,"Dual-clock model",300,0.625702927156214,0.00917037649448535,0.217425706214648,0.00419673741528224,0.00364560979727827,0.989909620498358,1.41592442417879,0.686527409457336
"common",100,20,0.8,"Global alpha-beta model",300,0.686554686843568,0.00629221748048036,0.246643176227873,0.00301882080183327,0.139107964105926,0.458389319100073,1.47677618386615,0.723771553630394
"common",100,20,0.8,"Origin-specific homogeneous",300,0.688518835724648,0.00610778725696882,0.247618477646655,0.00296916712171423,0.254501776414092,0.0261271834145276,1.47874033274723,0.725001378654193
"common",100,20,0.8,"Spline spell-age model",300,0.626122340748395,0.00932046006211931,0.217582758745726,0.00426121048273777,0.00465874198878113,0.984351443434195,1.41634383777097,0.686728072916706
"common",100,20,0.8,"Stage-Spell SPAOM",300,0.625428333753785,0.00912154442380878,0.2173067286185,0.00417993466680333,0.00241014481863592,0.993700587410838,1.41564983077636,0.686372882252659
"common",184,8,0,"Dual-clock model",300,0.620285625696485,0.0105918468907745,0.214282301233609,0.00494672151580415,0.825607505605523,-0.0153746391706056,1.59087111053075,0.775616111189215
"common",184,8,0,"Global alpha-beta model",300,0.620204935993269,0.0106503238805716,0.214251976231452,0.00497435791462069,0.826745824549938,-0.0177246498912674,1.59079042082753,0.775581729498626
"common",184,8,0,"Origin-specific homogeneous",300,0.619500554074447,0.0105048977221249,0.21395861405449,0.0049225581669435,0.809632360414586,0.00444123217252605,1.59008603890871,0.775207778057212
"common",184,8,0,"Spline spell-age model",283,0.620558469598559,0.0105128138655178,0.214289784910917,0.00485976803734343,0.807256039927725,0.00676560514405249,1.59162026036328,0.775821590082077
"common",184,8,0,"Stage-Spell SPAOM",300,0.619549719097755,0.0104953247618971,0.213979816293816,0.00491762241985978,0.81029414101288,0.00312383073000038,1.59013520393202,0.77523562905376
