"baseline_design","n_processes","mean_length","beta_true","successful_replications","mean_beta_hat","bias_beta","rmse_beta","coverage_beta","boundary_rate","mean_training_transitions"
"unequal",300,8,0.52,300,0.517840289589972,-0.00215971041002793,0.0601874326951356,0.95,0,2401.05333333333
"unequal",300,8,0.8,300,0.794422330027894,-0.00557766997210632,0.0553803584863148,0.96,0,2401.91333333333
"unequal",300,12,0,300,0.0175515150466911,0.0175515150466911,0.0299959438034806,0.993333333333333,0.526666666666667,3597.01666666667
"unequal",300,12,0.25,300,0.24151670484694,-0.00848329515306044,0.0478733435964078,0.94,0,3600.31666666667
"unequal",300,12,0.52,300,0.520314343447434,0.000314343447433688,0.0453844912933949,0.95,0,3604.32
"unequal",300,12,0.8,300,0.795659164543631,-0.00434083545636915,0.0475728607879749,0.95,0,3601.96666666667
"unequal",300,20,0,300,0.015414562499036,0.015414562499036,0.0274185492562834,0.97,0.526666666666667,5993.16
"unequal",300,20,0.25,300,0.248537034001645,-0.00146296599835475,0.0371063389999622,0.936666666666667,0,5995.64333333333
"unequal",300,20,0.52,300,0.516107423566561,-0.0038925764334391,0.0355480327379793,0.933333333333333,0,5996.18333333333
"unequal",300,20,0.8,300,0.793248090107531,-0.00675190989246888,0.0349078993533515,0.94,0,5998.82
"unequal",500,8,0,300,0.0191778955617856,0.0191778955617856,0.0338607374537824,0.98,0.51,4003.15333333333
"unequal",500,8,0.25,300,0.245756591923776,-0.00424340807622418,0.0479242283029285,0.93,0,4001.90666666667
"unequal",500,8,0.52,300,0.515396897841861,-0.00460310215813884,0.0444032749135762,0.96,0,3993.64
"unequal",500,8,0.8,300,0.798137266518935,-0.00186273348106477,0.0487046717166971,0.926666666666667,0,4004.11
"unequal",500,12,0,300,0.012264336067625,0.012264336067625,0.0230737919442763,0.983333333333333,0.543333333333333,5998.4
"unequal",500,12,0.25,300,0.246478645770461,-0.00352135422953879,0.0346460254943819,0.963333333333333,0,5999.58666666667
"unequal",500,12,0.52,300,0.515428115610291,-0.00457188438970918,0.0352620592922685,0.943333333333333,0,5994.41666666667
"unequal",500,12,0.8,300,0.798360645028903,-0.00163935497109697,0.0328371563790137,0.97,0,6005.85666666667
"unequal",500,20,0,300,0.0100992382851892,0.0100992382851892,0.0189983999352135,0.976666666666667,0.523333333333333,9999.49666666667
"unequal",500,20,0.25,300,0.249097131383243,-0.000902868616756749,0.0258000082408714,0.973333333333333,0,9996.65333333333
"unequal",500,20,0.52,300,0.517747767611862,-0.00225223238813754,0.0268831201075095,0.943333333333333,0,9997.92333333333
"unequal",500,20,0.8,300,0.801983633214983,0.00198363321498329,0.025120937429243,0.95,0,10002.6566666667
