"baseline_design","n_processes","mean_length","beta_true","model","successful_replications","departure_logloss_mean","departure_logloss_sd","departure_brier_mean","departure_brier_sd","calibration_intercept_mean","calibration_slope_mean","full_logloss_mean","full_brier_mean"
"unequal",100,12,0.52,"Stage-Spell SPAOM",300,0.655719725556216,0.0102255897290697,0.231720493613935,0.00448969944766032,0.00083631157750664,0.952038583458805,1.42992852447889,0.69544126346725
"unequal",100,12,0.8,"Stage-Spell SPAOM",300,0.624872298311658,0.0152663120735837,0.217140520110236,0.00579117323942253,-0.00793242282827447,0.981114026708082,1.31333235430445,0.632406143528706
"unequal",100,20,0,"Origin-specific homogeneous",300,0.648465726798672,0.00667252906332839,0.228567089071806,0.00303562181649439,0.0343278970838148,0.92473697750952,1.53204401434892,0.74922099518274
"unequal",100,20,0.25,"Stage-Spell SPAOM",300,0.658818248434261,0.0057935229495895,0.233555964978358,0.00261962414615909,0.0161931382551719,0.946247254526794,1.49233837291353,0.729676723722577
"unequal",100,20,0.52,"Stage-Spell SPAOM",300,0.652921718476691,0.00728586794970575,0.230631071172132,0.00331974653669864,0.00203175708394834,0.960324182033434,1.41390937181041,0.688525564038547
"unequal",100,20,0.8,"Stage-Spell SPAOM",300,0.61162419933325,0.0129238110633218,0.211845140307811,0.00562119039077838,-0.00525962404109842,0.986139711498169,1.27147236490137,0.611514875484481
"unequal",184,8,0,"Origin-specific homogeneous",300,0.650109335911875,0.010202339904468,0.229029908455869,0.00377247251997473,0.0537139889797592,0.895094338287939,1.53462934834804,0.749643978636953
"unequal",184,8,0.25,"Stage-Spell SPAOM",300,0.65886813853509,0.00763606425285093,0.233455134739086,0.00327477928805944,0.037524751220769,0.907483130922159,1.50180117796961,0.733774779746042
"unequal",184,8,0.52,"Stage-Spell SPAOM",300,0.655859272717979,0.00843671852611081,0.231913627451684,0.00339293406848044,0.0074066209580716,0.96463136740052,1.44108543106212,0.702218229710684
"unequal",184,8,0.8,"Stage-Spell SPAOM",300,0.634754095086204,0.0126086354892284,0.221741831555766,0.00452779581225931,-0.0024838767918193,0.966577185076511,1.34961202820483,0.652616385666076
"unequal",184,12,0,"Origin-specific homogeneous",300,0.648845897915428,0.00620692571207616,0.228772219241842,0.00280067863793312,0.0309694569803685,0.938579892055773,1.52987071457274,0.748555244391696
"unequal",184,12,0.25,"Stage-Spell SPAOM",300,0.657916765003526,0.00586349002921963,0.233160102061177,0.00265914721499347,0.0145855292195155,0.949911176093795,1.49520544388313,0.731041476917454
"unequal",184,12,0.52,"Stage-Spell SPAOM",300,0.653790143103886,0.00656467021092339,0.231037684656116,0.00300754370667823,0.00254110951898479,0.972876758772817,1.42665565995422,0.694929372997965
"unequal",184,12,0.8,"Stage-Spell SPAOM",300,0.623370516411861,0.00970825724686902,0.217012973309102,0.00431385218800244,-0.00693303020295561,0.985740285429553,1.30818381345735,0.631654679746532
"unequal",184,20,0,"Origin-specific homogeneous",300,0.64796597585217,0.00469234468084094,0.22838200486182,0.00213495516143683,0.0148711309795854,0.964822441620554,1.52737943610628,0.747827569390185
"unequal",184,20,0.25,"Stage-Spell SPAOM",300,0.657596474340221,0.00473470132877893,0.233055617272698,0.00216552948532696,0.00363396416641693,0.979881658862247,1.4897222924349,0.729058938591338
"unequal",184,20,0.52,"Stage-Spell SPAOM",300,0.650990701400946,0.00522570382579142,0.229781271056643,0.00241560680272802,0.00596126910698819,0.988440515461594,1.41008749948159,0.687170318285711
"unequal",184,20,0.8,"Stage-Spell SPAOM",300,0.610100047938971,0.0089521786294908,0.211235503442346,0.00391792605984689,-0.00890076430705294,0.98962701188616,1.2631792321623,0.608408978628371
