"baseline_design","n_processes","mean_length","beta_true","origin_stage","mean_eta_hat","eta_true","bias_eta","rmse_eta","coverage_eta"
"common",100,20,0.52,"Pre-negotiation",1.17949007565037,1.17991491149056,-0.000424835840193452,0.0713786279273231,0.956666666666667
"common",100,20,0.52,"Renegotiation/Other",1.19258418758928,1.17991491149056,0.0126692760987177,0.19457845108626,0.953333333333333
"common",100,20,0.52,"Substantive Comprehensive",1.20081102775466,1.17991491149056,0.0208961162640953,0.138770403151395,0.946666666666667
"common",100,20,0.52,"Substantive Partial",1.17928557742079,1.17991491149056,-0.000629334069773172,0.0751300271058422,0.946666666666667
"common",100,20,0.8,"Ceasefire",1.17095921520253,1.17991491149056,-0.00895569628803588,0.0805250397416035,0.95
"common",100,20,0.8,"Implementation",1.18416801238774,1.17991491149056,0.0042531008971813,0.0910505556123192,0.943333333333333
"common",100,20,0.8,"Pre-negotiation",1.17887122016494,1.17991491149056,-0.00104369132562536,0.0761153326025054,0.95
"common",100,20,0.8,"Renegotiation/Other",1.20644553338503,1.17991491149056,0.0265306218944675,0.210605604247339,0.936666666666667
"common",100,20,0.8,"Substantive Comprehensive",1.19549261317962,1.17991491149056,0.0155777016890575,0.142332891140918,0.953333333333333
"common",100,20,0.8,"Substantive Partial",1.18039655037265,1.17991491149056,0.000481638882092101,0.0823536415533753,0.936666666666667
"common",184,8,0,"Ceasefire",1.20040399426468,1.17991491149056,0.0204890827741219,0.0962467231141967,0.95
"common",184,8,0,"Implementation",1.20066613664943,1.17991491149056,0.0207512251588699,0.0969820396405109,0.936666666666667
"common",184,8,0,"Pre-negotiation",1.18025437325425,1.17991491149056,0.00033946176368733,0.0754015786280484,0.943333333333333
"common",184,8,0,"Renegotiation/Other",1.22157290047929,1.17991491149056,0.0416579889887283,0.224051302960829,0.963333333333333
"common",184,8,0,"Substantive Comprehensive",1.20219725074293,1.17991491149056,0.0222823392523705,0.15211952016661,0.96
"common",184,8,0,"Substantive Partial",1.19675845998888,1.17991491149056,0.0168435484983224,0.0788893181410709,0.943333333333333
"common",184,8,0.25,"Ceasefire",1.18777546790003,1.17991491149056,0.00786055640947175,0.0868530685844561,0.96
"common",184,8,0.25,"Implementation",1.18766905175548,1.17991491149056,0.00775414026492094,0.0947903318959586,0.96
"common",184,8,0.25,"Pre-negotiation",1.17723975032104,1.17991491149056,-0.00267516116952493,0.0826302083076837,0.956666666666667
"common",184,8,0.25,"Renegotiation/Other",1.21685767958105,1.17991491149056,0.0369427680904886,0.225718593093461,0.953333333333333
"common",184,8,0.25,"Substantive Comprehensive",1.20972101669915,1.17991491149056,0.0298061052085892,0.164194763809779,0.936666666666667
"common",184,8,0.25,"Substantive Partial",1.17803154985901,1.17991491149056,-0.00188336163155429,0.0851743536666769,0.953333333333333
"common",184,8,0.52,"Ceasefire",1.18647276498046,1.17991491149056,0.00655785348989884,0.094527346959403,0.933333333333333
"common",184,8,0.52,"Implementation",1.17784384662679,1.17991491149056,-0.00207106486377518,0.0986597433563833,0.94
"common",184,8,0.52,"Pre-negotiation",1.18078419284472,1.17991491149056,0.000869281354159848,0.0831853734893945,0.936666666666667
"common",184,8,0.52,"Renegotiation/Other",1.23431961839526,1.17991491149056,0.0544047069046941,0.24722649412239,0.943333333333333
"common",184,8,0.52,"Substantive Comprehensive",1.20625823863683,1.17991491149056,0.0263433271462659,0.159640489292017,0.95
"common",184,8,0.52,"Substantive Partial",1.18970985663851,1.17991491149056,0.00979494514794879,0.0825815430756571,0.966666666666667
"common",184,8,0.8,"Ceasefire",1.18832915682388,1.17991491149056,0.00841424533331662,0.0966072448434298,0.95
"common",184,8,0.8,"Implementation",1.18159467333945,1.17991491149056,0.00167976184888627,0.102427269915037,0.946666666666667
"common",184,8,0.8,"Pre-negotiation",1.18230348300452,1.17991491149056,0.00238857151395962,0.0860697068913328,0.953333333333333
"common",184,8,0.8,"Renegotiation/Other",1.21785092805262,1.17991491149056,0.0379360165620568,0.250293244016021,0.943333333333333
"common",184,8,0.8,"Substantive Comprehensive",1.20552730691331,1.17991491149056,0.0256123954227486,0.160654563925101,0.94
"common",184,8,0.8,"Substantive Partial",1.17607225014435,1.17991491149056,-0.00384266134621605,0.0867341329033617,0.956666666666667
"common",184,12,0,"Ceasefire",1.197633727797,1.17991491149056,0.017718816306443,0.0782884606027663,0.95
"common",184,12,0,"Implementation",1.18732291084427,1.17991491149056,0.00740799935370841,0.0747941100384272,0.953333333333333
"common",184,12,0,"Pre-negotiation",1.18915216012929,1.17991491149056,0.00923724863872406,0.0655463366982439,0.95
"common",184,12,0,"Renegotiation/Other",1.22668416001427,1.17991491149056,0.0467692485237076,0.182455014180549,0.953333333333333
"common",184,12,0,"Substantive Comprehensive",1.18525647487572,1.17991491149056,0.00534156338516031,0.120582127480361,0.946666666666667
"common",184,12,0,"Substantive Partial",1.18979403833885,1.17991491149056,0.0098791268482867,0.064863898800522,0.953333333333333
"common",184,12,0.25,"Ceasefire",1.17986432459281,1.17991491149056,-5.05868977528408e-05,0.0762858942381244,0.953333333333333
